iter	Passed	Remaining
0	25	125123
1	44	111231
2	63	105789
3	85	107302
4	106	106528
5	126	105646
6	146	104515
7	165	103090
8	187	103840
9	206	102931
10	227	103013
11	247	102739
12	266	102195
13	287	102311
14	306	101809
15	327	101914
16	347	101839
17	366	101321
18	387	101635
19	406	101255
20	426	101182
21	447	101244
22	466	100896
23	487	101176
24	506	100835
25	529	101214
26	548	100978
27	566	100647
28	586	100607
29	604	100164
30	623	99920
31	642	99781
32	659	99321
33	683	99823
34	702	99595
35	721	99456
36	740	99358
37	758	99090
38	778	99050
39	797	98844
40	814	98554
41	835	98624
42	852	98229
43	868	97827
44	886	97663
45	903	97272
46	922	97182
47	940	97045
48	958	96891
49	979	96929
50	996	96717
51	1014	96490
52	1034	96602
53	1052	96421
54	1070	96226
55	1096	96768
56	1122	97366
57	1172	99905
58	1195	100103
59	1212	99838
60	1232	99815
61	1248	99475
62	1267	99358
63	1292	99674
64	1309	99437
65	1329	99414
66	1346	99153
67	1365	99054
68	1383	98899
69	1401	98727
70	1420	98645
71	1438	98453
72	1455	98251
73	1475	98229
74	1492	98028
75	1511	97910
76	1530	97851
77	1545	97553
78	1563	97372
79	1581	97282
80	1607	97606
81	1629	97720
82	1656	98145
83	1677	98184
84	1695	98042
85	1715	98008
86	1736	98041
87	1753	97861
88	1773	97886
89	1790	97682
90	1805	97375
91	1823	97269
92	1840	97124
93	1857	96921
94	1877	96935
95	1895	96846
96	1913	96724
97	1930	96562
98	1949	96522
99	1968	96472
100	1986	96360
101	2002	96173
102	2023	96194
103	2041	96086
104	2060	96069
105	2077	95930
106	2094	95793
107	2111	95653
108	2128	95509
109	2144	95347
110	2162	95239
111	2180	95145
112	2196	94997
113	2213	94861
114	2230	94761
115	2246	94596
116	2264	94517
117	2281	94381
118	2296	94207
119	2316	94215
120	2332	94066
121	2348	93910
122	2366	93834
123	2386	93846
124	2403	93735
125	2422	93719
126	2438	93579
127	2456	93493
128	2472	93375
129	2489	93254
130	2511	93347
131	2535	93494
132	2558	93619
133	2582	93771
134	2604	93853
135	2625	93893
136	2647	93972
137	2672	94155
138	2697	94323
139	2722	94494
140	2745	94615
141	2773	94889
142	2798	95060
143	2825	95281
144	2847	95353
145	2875	95606
146	2901	95779
147	2924	95887
148	2954	96184
149	2977	96258
150	2998	96297
151	3024	96477
152	3047	96539
153	3077	96855
154	3106	97097
155	3130	97220
156	3156	97366
157	3181	97513
158	3208	97679
159	3230	97728
160	3253	97774
161	3276	97852
162	3299	97918
163	3323	98002
164	3347	98093
165	3371	98168
166	3395	98266
167	3419	98355
168	3446	98528
169	3471	98633
170	3493	98668
171	3522	98880
172	3545	98930
173	3571	99046
174	3595	99145
175	3622	99276
176	3643	99281
177	3669	99410
178	3690	99388
179	3713	99435
180	3740	99586
181	3768	99750
182	3795	99899
183	3819	99970
184	3845	100080
